0.02083420,0.14270400,-0.18520281,0.02287876,0.05910286,-0.02892320,0.03982617
0.04166840,0.17399109,-0.17042141,0.03353389,0.05960097,-0.02962449,0.04606489
0.06250260,0.18531986,-0.17081431,0.03539874,0.06738077,-0.01677149,0.06236155
0.08333681,0.17822971,-0.15764452,0.04199438,0.07802749,-0.00631746,0.04809875
0.10417101,0.19915265,-0.15425029,0.06109934,0.08227855,0.00191361,0.06064749
0.12500521,0.20727593,-0.13479426,0.07234106,0.08677711,0.00501494,0.08067673
0.14583941,0.19851105,-0.12614763,0.07833353,0.09498221,0.00844318,0.08287626
0.16667361,0.21712574,-0.12339439,0.07898726,0.10755924,0.01580964,0.07831475
0.18750781,0.23471559,-0.11655861,0.08502008,0.10904743,0.03232650,0.10012662
0.20834201,0.23452545,-0.10232377,0.10041390,0.11512944,0.03146710,0.11296457
0.22917622,0.24252676,-0.08857639,0.10900512,0.12114919,0.03174305,0.10413415
0.25001042,0.25270589,-0.08236649,0.11396134,0.12860160,0.05053639,0.10426521
0.27084462,0.26075909,-0.07690846,0.13142697,0.14020868,0.05235075,0.12093788
0.29167882,0.27613840,-0.06211780,0.13494422,0.14128734,0.05619749,0.13073327
0.31251302,0.27592065,-0.05565104,0.13640053,0.14739356,0.06607906,0.12614380
0.33334722,0.27529827,-0.04985397,0.15131546,0.15311865,0.06387863,0.14266035
0.35418142,0.29036747,-0.03506127,0.16022835,0.16105547,0.07543675,0.15236218
0.37501563,0.30873827,-0.02816408,0.16744742,0.17207454,0.08601488,0.13414149
0.39584983,0.32548907,-0.01487467,0.17298979,0.16956921,0.08957277,0.15531708
0.41668403,0.32609211,0.00011092,0.18349163,0.17391281,0.10564067,0.18009991
0.43751823,0.33347829,0.00860205,0.19447592,0.18985066,0.10019391,0.17029274
0.45835243,0.33489010,0.01154315,0.20576317,0.19693184,0.10744727,0.17680001
0.47918663,0.34648479,0.01763859,0.21639285,0.19996782,0.11742871,0.18184068
0.50002083,0.37051921,0.02484673,0.22135662,0.20491900,0.11079161,0.17403212
0.52085504,0.36284751,0.03544105,0.22098328,0.21047965,0.12429696,0.19490803
